,RUL
RUL,1.0
sensor_12,0.6719831036133275
sensor_7,0.6572226620546537
sensor_21,0.6356620421802941
sensor_20,0.6294284994377553
engine_id,0.07875253246984412
op_setting_2,-0.0019476283515004475
op_setting_1,-0.003198457554741038
sensor_6,-0.1283484484702484
sensor_14,-0.30676887025751065
sensor_9,-0.39010157491822123
sensor_13,-0.5625688251670798
sensor_8,-0.5639684065755297
sensor_3,-0.5845203909176561
sensor_17,-0.6061535537829565
sensor_2,-0.6064839743785985
sensor_15,-0.6426670441974635
sensor_4,-0.6789482333860427
sensor_11,-0.6962281014553727
cycle,-0.7362405993070223
